id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1321400060,20140627.0,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819
2524049179,20140826.0,2e+006,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336
8091400200,20140516.0,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
7955080270,20141203.0,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720
2078500320,20140620.0,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
3626039271,20150205.0,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738
6300000287,20140609.0,410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693
1531000030,20150323.0,720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750
1523059105,20150128.0,356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
1099611230,20140912.0,199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400
7214720075,20141212.0,699950,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777
1853000400,20150305.0,680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,47.7304,-122.082,2990,35001
9545230140,20140725.0,597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636
4389200955,20150302.0,1.45e+006,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
8732020310,20140717.0,260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400
3655000070,20140805.0,220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140
4027700812,20140529.0,452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436
1777500060,20140708.0,527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375
3224079105,20140806.0,430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842
7920100045,20140516.0,350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100
0084000105,20140507.0,255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
8123100045,20150414.0,470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375
7549802535,20141111.0,423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480
0626059335,20140904.0,527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,1987,0,98011,47.7663,-122.215,1910,10055
8096000060,20150413.0,655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193
3677400445,20140902.0,475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800
5152100060,20140529.0,472000,6,2.5,4410,14034,1,0,2,4,9,2350,2060,1965,0,98003,47.3376,-122.324,2600,13988
8150100045,20141001.0,210000,2,1,830,6000,1,0,0,3,6,830,0,1940,0,98126,47.5308,-122.376,830,4960
9468200125,20140826.0,480000,2,1,1030,3060,1,0,2,4,7,790,240,1918,0,98103,47.6779,-122.353,1390,3060
3438500192,20140929.0,285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,98106,47.5544,-122.358,1130,6350
2976800796,20140925.0,236000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619
4215100060,20150320.0,365000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,0,98031,47.4145,-122.166,2653,4927
9412900055,20150505.0,405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,98118,47.5362,-122.268,2020,6000
3204800200,20150108.0,665000,4,2.75,3320,10574,2,0,0,5,8,2220,1100,1960,0,98056,47.5376,-122.18,2720,8330
7852110140,20140718.0,552250,4,2.5,2580,5823,2,0,0,3,8,2580,0,2002,0,98065,47.5374,-121.875,2380,5823
9262800171,20150324.0,252000,4,1.5,1550,19800,1,0,0,4,7,1050,500,1969,0,98001,47.3117,-122.27,1640,22654
0723099065,20150130.0,465000,3,2,1840,40438,2,0,0,3,7,1840,0,1994,0,98045,47.4853,-121.709,1380,44049
6116500075,20150326.0,673000,4,2.5,2990,10400,2,0,0,3,9,2990,0,2002,0,98166,47.4508,-122.359,2140,17449
7132300695,20150421.0,435000,3,1.5,1300,3348,1.5,0,0,3,7,1300,0,1904,2014,98144,47.592,-122.307,1590,2577
8563040160,20150121.0,560000,4,2.25,2550,7800,1,0,0,3,8,1580,970,1968,0,98052,47.6283,-122.095,2420,8050
8651600160,20141111.0,799000,4,2.25,2510,11585,2,0,0,4,8,2510,0,1969,0,98040,47.5483,-122.226,2450,9691
2460700700,20140515.0,252350,3,2,1650,7352,1,0,0,3,7,1160,490,1979,0,98058,47.4612,-122.169,1710,7350
7972600860,20141210.0,345000,4,1,1550,7620,1.5,0,0,3,7,1550,0,1957,0,98106,47.5287,-122.35,1450,7620
1923000030,20140728.0,1.118e+006,4,2.5,3840,16619,2,0,1,4,10,3840,0,1983,0,98040,47.5634,-122.213,3600,16553
8856950240,20140618.0,322500,4,2.5,1820,6753,2,0,0,3,7,1820,0,1994,0,98038,47.3845,-122.032,1820,7107
2422029094,20140716.0,517534,2,1,833,143947,1,0,0,3,5,833,0,2006,0,98070,47.3889,-122.482,1380,143947
6388900710,20141219.0,538000,3,2.5,2250,11632,2,0,0,3,8,2250,0,1988,0,98056,47.5272,-122.169,2360,11632
7942600310,20140717.0,375000,2,1,940,5120,1,0,0,3,7,940,0,1909,0,98122,47.6073,-122.308,1300,5120
2268400350,20140916.0,749000,4,2.5,1710,9627,1,0,0,3,9,1440,270,1976,2014,98006,47.559,-122.164,2140,9131
8857600960,20140819.0,205000,3,1,940,7980,1,0,0,4,7,940,0,1960,0,98032,47.3838,-122.289,1150,8050
4140090240,20141105.0,520000,3,2.25,2590,9263,1,0,0,5,8,1440,1150,1977,0,98028,47.7691,-122.262,2580,9450
3775300030,20141231.0,333500,3,1.75,1220,9732,1,0,0,3,7,1220,0,1965,0,98011,47.7736,-122.214,1630,10007
1742800030,20140612.0,578000,4,2.5,3140,9225,1,0,2,5,9,1770,1370,1966,0,98055,47.4904,-122.226,2460,9600
7282300125,20141112.0,330000,3,1,980,7000,1,0,0,3,6,980,0,1953,0,98133,47.7617,-122.357,1220,7000
8651611170,20150213.0,868700,3,4.25,3840,6161,2,0,0,3,10,3840,0,2000,0,98074,47.6336,-122.064,3230,7709
9274202270,20140818.0,625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,1900,0,98116,47.5872,-122.39,1590,4025
7852030960,20141106.0,437500,3,2.5,2120,4500,2,0,0,3,7,2120,0,2000,0,98065,47.5322,-121.88,2530,4816
2769600560,20140527.0,529000,3,1,1210,3328,1.5,0,0,4,7,1210,0,1924,0,98107,47.6729,-122.363,1640,3333
9238901420,20150202.0,442000,3,1,1190,5100,1,0,0,4,7,1030,160,1941,0,98136,47.5346,-122.385,1690,5100
7322910030,20140721.0,1.095e+006,5,3.5,4410,57063,2,0,0,4,9,4410,0,1990,0,98053,47.6554,-122.018,2900,50529
1180003090,20140906.0,190000,2,1,630,6000,1,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840
4348800030,20141121.0,727500,2,2,1240,9119,1,0,0,4,7,1240,0,1952,0,98004,47.6221,-122.193,1380,9121
4403600270,20150224.0,970000,4,3.25,4740,76230,2,0,0,3,10,4740,0,1987,0,98075,47.5931,-122.071,3340,49206
1310900260,20141013.0,318888,4,1.75,2320,12000,1,0,0,4,8,2270,50,1973,0,98032,47.3644,-122.28,2120,9880
4139400710,20140523.0,782000,4,2.5,2380,9614,2,0,0,4,10,2380,0,1991,0,98006,47.5623,-122.116,2560,9770
0236400320,20140715.0,238000,4,1,1400,7242,1.5,0,0,3,7,1400,0,1959,0,98188,47.4339,-122.291,1310,7314
3624079046,20141028.0,460000,4,3,2230,108900,1,0,0,3,7,1410,820,1978,0,98065,47.52,-121.845,1960,65340
2436701180,20140814.0,671500,5,2.75,2160,4000,1.5,0,0,5,7,1530,630,1927,0,98105,47.667,-122.289,2040,4000
1189000030,20140603.0,650000,5,2.75,2550,5040,1.5,0,0,5,8,2550,0,1902,0,98122,47.6136,-122.299,1590,3840
8669160310,20141209.0,266000,3,2.5,1805,3402,2,0,0,3,7,1805,0,2009,0,98002,47.3521,-122.212,2095,3402
8945200860,20141211.0,180000,3,1,1384,8960,1,0,0,4,6,1384,0,1965,0,98023,47.3062,-122.371,1000,8470
2998800125,20140701.0,730000,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,98116,47.573,-122.409,2130,4920
5419800510,20141117.0,268500,4,1.75,1420,7500,1,0,0,4,7,1080,340,1981,0,98031,47.4025,-122.176,1500,7260
6865200444,20140505.0,531000,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,47.6634,-122.34,1290,1800
8925100390,20150406.0,1.0425e+006,3,1.75,1900,9375,1,0,1,4,8,1330,570,1941,0,98115,47.6821,-122.273,2760,9375
5379805460,20150121.0,245000,3,1.5,1360,8910,2,0,0,5,7,1360,0,1949,0,98188,47.4488,-122.275,1220,8912
7212652180,20140701.0,314500,3,2,2050,13303,1,0,0,3,8,2050,0,1993,0,98003,47.2681,-122.31,2180,11590
0708000030,20140902.0,888000,3,1.5,1250,8710,1,0,0,4,7,1250,0,1953,0,98004,47.6245,-122.198,1750,9185
6145600041,20140514.0,306000,3,1.5,1220,1086,3,0,0,3,8,1220,0,2007,0,98133,47.7049,-122.353,1220,1422
1775800800,20150224.0,396000,3,1,1500,12616,1,0,0,3,7,1500,0,1967,0,98072,47.7415,-122.101,1820,13950
8820903380,20140728.0,452000,6,2.25,2660,13579,2,0,0,3,7,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242
3530490070,20140613.0,210000,2,1.75,1440,5680,1,0,0,4,8,1440,0,1978,0,98198,47.3825,-122.319,1320,3547
2591820310,20141006.0,365000,4,2.25,2070,8893,2,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700
6613000140,20141113.0,1.3e+006,3,3.25,3400,5979,2,0,0,4,9,2290,1110,1937,0,98105,47.6585,-122.273,3090,6435
0293720140,20140605.0,449950,3,2.5,2170,4912,2,0,0,3,7,2170,0,2003,0,98028,47.7767,-122.239,2010,4395
5149300200,20140902.0,316500,3,1.75,1600,14250,1,0,0,3,7,1070,530,1979,0,98023,47.3272,-122.355,2140,14960
6379500159,20140911.0,400000,3,2.25,1190,1149,2,0,0,3,8,1050,140,2008,0,98116,47.5818,-122.387,1210,1316
2688100071,20150415.0,500000,2,1,1280,5400,1,0,0,3,7,1280,0,1964,0,98117,47.6949,-122.371,1540,5670
4307350200,20150512.0,347000,3,2.5,1680,4308,2,0,0,3,7,1680,0,2004,0,98056,47.4802,-122.179,2160,4182
6799300270,20140806.0,310950,4,2.5,2030,4997,2,0,0,3,8,2030,0,2004,0,98031,47.393,-122.184,2095,5500
0726049190,20150218.0,431000,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100
1610000016,20140911.0,175000,4,1,1300,6030,1.5,0,0,3,6,1300,0,1947,0,98168,47.4778,-122.286,1240,6900
0623069068,20140627.0,425000,3,1,1520,213444,1.5,0,3,5,8,1520,0,1988,0,98027,47.5081,-122.093,2640,213444
2359300030,20150508.0,565000,3,1,910,5212,1,0,0,3,7,910,0,1951,0,98115,47.6742,-122.284,1520,6300
6403310060,20140811.0,539900,3,1.75,1650,10150,1,0,0,3,8,1230,420,1976,0,98033,47.6963,-122.169,1930,8958
6665800060,20150305.0,795000,3,2,2920,13650,1,0,2,5,8,1460,1460,1975,0,98033,47.6652,-122.188,2920,10988
9536602080,20141219.0,229000,3,1,1020,8100,1,0,0,3,7,1020,0,1954,0,98198,47.3586,-122.314,1020,8100
2436701200,20140912.0,720000,3,1.75,2040,4000,2,0,0,5,7,1360,680,1924,0,98105,47.6675,-122.289,1610,4000
8562890700,20140530.0,395000,4,2.5,2910,5000,2,0,0,3,8,2910,0,2002,0,98042,47.3782,-122.127,2740,5045
3275780030,20150311.0,730000,4,2.25,2190,9009,2,0,0,4,8,1840,350,1977,0,98033,47.6916,-122.188,2190,10251
1923000160,20140620.0,905000,4,3.5,2970,14486,2,0,0,3,9,2340,630,1997,0,98040,47.5627,-122.215,3680,14486
7574910860,20140811.0,800000,4,2.5,2570,50308,1.5,0,0,3,10,2570,0,1993,0,98077,47.7418,-122.039,3420,37891
2460700260,20150218.0,300000,3,2,1480,6698,1,0,0,4,7,1080,400,1979,0,98058,47.4614,-122.168,1850,7348
7524000030,20140630.0,250000,3,2,1440,9220,1,0,0,3,7,1440,0,1965,0,98198,47.3702,-122.317,1390,7830
8730000270,20150514.0,359000,2,2.75,1370,1140,2,0,0,3,8,1080,290,2009,0,98133,47.7052,-122.343,1370,1090
6116500341,20150112.0,419000,4,1.5,2150,23568,1,0,0,4,7,2150,0,1950,0,98166,47.4522,-122.355,2150,10125
9455200445,20150325.0,601000,3,1.75,1330,6743,1,0,0,3,8,1330,0,1958,2002,98125,47.7012,-122.286,2600,7350
0510002065,20150323.0,700000,4,1,1980,4560,1.5,0,0,3,7,1980,0,1920,0,98103,47.6606,-122.331,1810,3245
1455100116,20150202.0,397500,3,1.25,1510,13737,1,0,3,4,6,810,700,1961,0,98125,47.7289,-122.283,2560,10202
5559600140,20150505.0,253000,3,2,1490,7651,1,0,0,3,7,1490,0,1988,0,98003,47.3211,-122.325,1590,7795
1624079104,20150402.0,540000,3,2.25,2000,217800,2,0,0,3,8,2000,0,1996,0,98024,47.5599,-121.911,2220,217800
1254200075,20140509.0,460000,4,1.75,1750,5500,1.5,0,0,5,7,1050,700,1926,0,98117,47.6802,-122.388,1640,5500
2025700860,20150414.0,287000,3,2.25,1370,6000,2,0,0,4,7,1370,0,1992,0,98038,47.3484,-122.033,1370,6200
7215722010,20150226.0,566000,3,2.5,1560,5259,2,0,0,3,8,1560,0,1999,0,98075,47.5985,-122.016,2170,5461
2423020270,20140715.0,470000,3,2.25,1780,8784,1,0,0,3,7,1230,550,1977,0,98033,47.701,-122.172,1780,7704
1607100139,20140725.0,250000,3,1,1190,6250,1,0,0,3,7,990,200,1954,0,98108,47.5658,-122.292,1760,6434
6099400030,20150114.0,320000,3,1.75,2300,41900,1,0,0,4,8,1310,990,1939,0,98168,47.477,-122.292,1160,8547
7683800200,20150402.0,275000,2,1.5,1270,32175,1,0,0,4,7,1270,0,1947,0,98003,47.3347,-122.304,1270,10200
